cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_consolidator,n_distributor,n_transit,taint_kzt
17,30,0,8045494,100000008743913100;100000001303311100;100000005527892100,Distribution structure: funds fanned out by 100000008743913100 to 13 recipients.,1,2,0,175090.568625
18,30,1,6513430,100000008546855100;100000007594394100;100000003854444100,Distribution structure: funds fanned out by 100000003854444100 to 14 recipients.,1,1,2,93685.2694239
19,26,14,2289450,100000004403675100;100000004744306100;100000003823811100,Collection structure: 14 seeds feed consolidator 100000005382566100; check as a possible cash-collection node.,1,0,0,1668592.08762
20,20,0,617900,100000000723383100;100000003154105100;100000002448088100,"Mixed group of 20 accounts, no dominant pattern.",0,0,0,23187.3011962
21,18,0,3422800,100000003701161100;100000003718221100;100000002267998100,"Mixed group of 18 accounts, no dominant pattern.",0,0,0,446567.5594
22,17,1,21586840,100000002224132100;100000001965374100;100000004603109100,"Mixed group of 17 accounts, no dominant pattern.",1,0,0,891648.029937
23,17,1,2977887,100000004160650100;100000002731501100;100000004144536100,Distribution structure: funds fanned out by 100000004160650100 to 10 recipients.,0,1,0,195139.140071
24,15,0,850450,100000001526235100;100000005505655100;100000002472632100,"Mixed group of 15 accounts, no dominant pattern.",0,0,0,30605.186755
25,15,0,3626010,100000008461532100;100000000791285100;100000006704530100,"Mixed group of 15 accounts, no dominant pattern.",0,0,1,1803.89191377
26,15,0,3436955,100000004221668100;100000005171642100;100000002459093100,"Mixed group of 15 accounts, no dominant pattern.",0,0,2,335036.605161
27,14,0,1605604,100000008213966100;100000007382543100;100000000838385100,"Mixed group of 14 accounts, no dominant pattern.",0,0,0,82455.2201903
28,13,1,1392916,100000001380054100;100000000703894100;100000005077484100,"Mixed group of 13 accounts, no dominant pattern.",0,0,0,512003.399915
29,13,0,6748650,100000007442518100;100000008258083100;100000000673868100,"Mixed group of 13 accounts, no dominant pattern.",0,0,0,18238.7260245
30,11,0,3784703,100000003004487100;100000002175422100;100000002710570100,"Mixed group of 11 accounts, no dominant pattern.",0,0,0,105226.283562
31,10,0,322010,100000008172352100;100000007322059100;100000000993112100,"Mixed group of 10 accounts, no dominant pattern.",0,0,0,91057.526329
32,10,0,1727065,100000004336312100;100000005519998100;100000004076740100,"Mixed group of 10 accounts, no dominant pattern.",0,0,2,131433.408404
33,9,0,1406982,100000002217161100;100000007647294100;100000001445848100,"Mixed group of 9 accounts, no dominant pattern.",0,0,0,6406.49932186
34,8,0,2473417.91,100000004906181100;100000008175078100;100000008675322100,"Mixed group of 8 accounts, no dominant pattern.",0,0,0,239.071874924
35,8,0,389000,100000005507142100;100000001825934100;100000002612809100,"Mixed group of 8 accounts, no dominant pattern.",0,0,0,73520.2311953
36,7,0,143000,100000005911352100;100000004508696100;100000000507799100,"Mixed group of 7 accounts, no dominant pattern.",0,0,0,17017.0447419
37,7,0,3077000,100000002241986100;100000001053894100;100000002594214100,"Mixed group of 7 accounts, no dominant pattern.",0,0,0,669.401249786
38,7,0,1765600,100000007392365100;100000007865484100;100000008551752100,"Mixed group of 7 accounts, no dominant pattern.",0,0,0,16.2737050512
39,7,0,1268308,100000008011159100;100000006169033100;100000005754335100,"Mixed group of 7 accounts, no dominant pattern.",0,0,0,10773.0070664
40,6,1,1615030,100000008736940100;100000008751429100;100000005456919100,"Mixed group of 6 accounts, no dominant pattern.",0,0,0,1219663.04328
41,6,1,1527967,100000007939160100;100000005183943100;100000007930878100,"Mixed group of 6 accounts, no dominant pattern.",0,0,0,1514554
42,6,0,2540000,100000004479404100;100000004717647100;100000002922000100,"Mixed group of 6 accounts, no dominant pattern.",0,0,0,2078.16737252
43,6,1,275885,100000005895525100;100000002462183100;100000005056870100,"Mixed group of 6 accounts, no dominant pattern.",0,0,0,275885
44,6,0,2534500,100000003747133100;100000004722765100;100000002578653100,"Mixed group of 6 accounts, no dominant pattern.",1,0,0,25117.8919235
45,6,0,720900,100000008761219100;100000007472293100;100000006638021100,"Mixed group of 6 accounts, no dominant pattern.",0,0,0,287.99612862
46,6,1,383300,100000005546031100;100000004094958100;100000004331458100,"Mixed group of 6 accounts, no dominant pattern.",0,0,2,160201.056422
47,5,0,1189154,100000000291906100;100000000291908100;100000004670388100,"Mixed group of 5 accounts, no dominant pattern.",0,0,1,21566.1487806
48,5,0,172000,100000005031696100;100000004659919100;100000001223977100,"Mixed group of 5 accounts, no dominant pattern.",0,0,0,11913.0434783
49,5,0,338950,100000004715209100;100000008190411100;100000003133045100,"Mixed group of 5 accounts, no dominant pattern.",0,0,0,33.5628920091
50,5,0,1138730,100000008430691100;100000003321895100;100000007330432100,"Mixed group of 5 accounts, no dominant pattern.",0,0,0,2854.96106909
51,5,1,2809200,100000004135268100;100000002738256100;100000004979498100,"Mixed group of 5 accounts, no dominant pattern.",0,0,2,2753641.43751
52,5,2,108007,100000006562026100;100000007347733100;100000008129393100,"Mixed group of 5 accounts, no dominant pattern.",0,0,0,108007
53,4,0,460000,100000006069103100;100000000201868100;100000003192220100,"Mixed group of 4 accounts, no dominant pattern.",0,0,2,247552.618261
54,4,0,518000,100000002205022100;100000000629812100;100000003163886100,"Mixed group of 4 accounts, no dominant pattern.",0,0,0,16350.5044035
55,4,1,1404980,100000001872484100;100000000785800100;100000002459163100,"Mixed group of 4 accounts, no dominant pattern.",0,0,1,1404980
56,4,0,1595700,100000001052945100;100000001131403100;100000004616845100,"Mixed group of 4 accounts, no dominant pattern.",0,0,0,124.984004582
57,4,1,79050,100000003148220100;100000006888238100;100000001852140100,"Mixed group of 4 accounts, no dominant pattern.",0,0,0,13643.3179724
58,4,0,332709,100000002513028100;100000004610802100;100000002516862100,"Mixed group of 4 accounts, no dominant pattern.",0,0,0,429.142931428
59,4,2,1499679,100000008730021100;100000008701944100;100000008418835100,"Mixed group of 4 accounts, no dominant pattern.",0,0,0,1499679
60,3,1,450000,100000002371751100;100000000769919100;100000007018630100,"Isolated fragment, low evidence.",0,0,0,400000
61,3,1,390167.62,100000002781227100;100000002796853100;100000008522127100,"Isolated fragment, low evidence.",0,0,1,358827.259913
62,3,0,1557988,100000008258458100;100000004035925100;100000008619159100,"Isolated fragment, low evidence.",0,0,0,396.425085306
63,3,1,450816,100000005034574100;100000007283257100;100000004388983100,"Isolated fragment, low evidence.",0,0,0,450816
64,3,0,627870,100000008628231100;100000004666651100;100000005664632100,"Isolated fragment, low evidence.",0,0,0,100000
65,2,0,761255,100000000583220100;100000004586598100,"Isolated fragment, low evidence.",0,0,0,79.9128233606
66,2,1,30000,100000003980083100;100000003200071100,"Isolated fragment, low evidence.",0,0,0,30000
67,2,1,81465,100000003865939100;100000005392290100,"Isolated fragment, low evidence.",0,0,0,81465
68,2,0,857500,100000008324800100;100000007390016100,"Isolated fragment, low evidence.",0,0,1,6330.84080988
69,1,1,0,100000000456947100,"Isolated fragment, low evidence.",0,0,0,0
70,1,1,0,100000003265658100,"Isolated fragment, low evidence.",0,0,0,0
71,1,1,0,100000003349739100,"Isolated fragment, low evidence.",0,0,0,0
72,1,1,0,100000003770083100,"Isolated fragment, low evidence.",0,0,0,0
73,1,1,0,100000004021459100,"Isolated fragment, low evidence.",0,0,0,0
74,1,1,0,100000004174835100,"Isolated fragment, low evidence.",0,0,0,0
75,1,1,0,100000005017150100,"Isolated fragment, low evidence.",0,0,0,0
76,1,1,0,100000005087431100,"Isolated fragment, low evidence.",0,0,0,0
77,1,1,0,100000005235389100,"Isolated fragment, low evidence.",0,0,0,0
78,1,1,0,100000005480435100,"Isolated fragment, low evidence.",0,0,0,0
79,1,1,0,100000005495722100,"Isolated fragment, low evidence.",0,0,0,0
80,1,1,0,100000005550592100,"Isolated fragment, low evidence.",0,0,0,0
81,1,1,0,100000005560900100,"Isolated fragment, low evidence.",0,0,0,0
82,1,1,0,100000005568407100,"Isolated fragment, low evidence.",0,0,0,0
83,1,1,0,100000008117324100,"Isolated fragment, low evidence.",0,0,0,0
84,1,1,0,100000008205000100,"Isolated fragment, low evidence.",0,0,0,0
85,1,1,0,100000008513251100,"Isolated fragment, low evidence.",0,0,0,0
86,1,1,0,100000008669037100,"Isolated fragment, low evidence.",0,0,0,0
87,1,1,0,100000008701222100,"Isolated fragment, low evidence.",0,0,0,0
