src,dst,sum_kzt
100000001616816100,100000001937767100,53000
100000001616816100,100000004015047100,110500
100000001660397100,100000006866783100,24000
100000001660397100,100000008413748100,13000
100000001660397100,100000008477350100,12000
100000001857829100,100000000640800100,80000
100000001857829100,100000003115284100,100000
100000001857829100,100000003880331100,100000
100000001857829100,100000007908818100,210000
100000001857829100,100000008121806100,67000
100000001857829100,100000008603629100,26000
100000001937767100,100000001616816100,53000
100000001987030100,100000005514161100,19000
100000002132479100,100000004159526100,20000
100000002152857100,100000004015047100,70000
100000002152857100,100000005578559100,80000
100000002152857100,100000006240939100,160000
100000002224132100,100000000552584100,2500000
100000002224132100,100000000594783100,2635000
100000002224132100,100000004603109100,2580000
100000002224132100,100000004892144100,4400000
100000002267998100,100000003701161100,850000
100000002267998100,100000003718221100,230000
100000002306369100,100000002723538100,20000
100000002306369100,100000008111003100,51000
100000002306369100,100000008165763100,114000
100000002306369100,100000008477350100,35000
100000002306369100,100000008603629100,20900
100000002391278100,100000004221668100,52700
100000002592567100,100000008547844100,8600
100000002609774100,100000008104567100,27500
100000002645993100,100000008413748100,13480
100000002723538100,100000003071930100,50000
100000002723538100,100000003242289100,33000
100000002723538100,100000004071080100,32000
100000002723538100,100000008603629100,85000
100000002748180100,100000005514161100,125000
100000002781227100,100000002796853100,199000
100000002781227100,100000008466579100,6952
100000002781227100,100000008547948100,6468
100000002796853100,100000002781227100,46167.62
100000002812641100,100000002838861100,7023.95
100000002838861100,100000002812641100,10000
100000002957787100,100000002645993100,14000
100000002957787100,100000003582677100,8104.99
100000002957787100,100000004071070100,5000
100000002957787100,100000004071080100,15000
100000002957787100,100000004299488100,70000
100000002957787100,100000005268319100,19712.8
100000002957787100,100000008137435100,50000
100000002957787100,100000008632060100,6000
100000002957787100,100000008636603100,22710
100000002963189100,100000005933757100,1150000
100000003016635100,100000000667713100,106745
100000003016635100,100000001049200100,6014
100000003016635100,100000001530983100,333890
100000003016635100,100000001987030100,7196
100000003016635100,100000002173161100,869500
100000003016635100,100000002592567100,5297
100000003016635100,100000002609774100,7700
100000003016635100,100000003701161100,208103
100000003016635100,100000004186824100,437350
100000003016635100,100000004188160100,79262
100000003016635100,100000004330371100,96671
100000003016635100,100000004394765100,451888
100000003016635100,100000004707703100,232300
100000003016635100,100000005287097100,110723
100000003016635100,100000005339662100,26925
100000003016635100,100000005634552100,25850
100000003016635100,100000006069103100,29118
100000003016635100,100000006518161100,521200
100000003016635100,100000006579678100,42930
100000003016635100,100000007281639100,147000
100000003016635100,100000007511163100,14666
100000003016635100,100000008003034100,12201
100000003016635100,100000008169544100,137104
100000003016635100,100000008188026100,63358
100000003115284100,100000003360542100,307000
100000003115284100,100000003390036100,210000
100000003178549100,100000001857829100,59000
100000003213473100,100000004400305100,9000
100000003213473100,100000005782781100,24000
100000003213473100,100000006866783100,10000
100000003213473100,100000008165763100,40000
100000003237045100,100000006579678100,150000
100000003242289100,100000004140487100,24510
100000003242289100,100000007864477100,6000
100000003242289100,100000008304139100,93570
100000003242289100,100000008417359100,40810
100000003242289100,100000008512552100,49000
100000003246024100,100000005222360100,5000
100000003299365100,100000003684369100,200000
100000003360542100,100000003115284100,30500
100000003360542100,100000003390036100,21300
100000003390036100,100000005873152100,10000
100000003528285100,100000003684369100,203000
100000003582677100,100000008111003100,10000
100000003582677100,100000008165763100,30500
100000003684369100,100000001072022100,740000
100000003684369100,100000001924185100,36000
100000003684369100,100000002480800100,230000
100000003684369100,100000002939838100,93061
100000003684369100,100000002957306100,188990
100000003684369100,100000003115284100,193000
100000003684369100,100000003299365100,200000
100000003684369100,100000005074393100,193893
100000003684369100,100000006889963100,311000
100000003684369100,100000007181706100,163772
100000003684369100,100000007908818100,235100
100000003684369100,100000008747113100,92591
100000003701161100,100000002267998100,220000
100000003701161100,100000003718221100,120000
100000003718221100,100000002267998100,200000
100000003718221100,100000003701161100,120000
100000003796063100,100000000331309100,233200
100000003796063100,100000004400305100,9000
100000003796063100,100000005782781100,18500
100000003796063100,100000006866783100,67500
100000003796063100,100000008111003100,35000
100000003796063100,100000008165763100,45200
100000003796063100,100000008172352100,35500
100000003796063100,100000008346837100,112000
100000003796063100,100000008477350100,126000
100000003796063100,100000008512552100,78500
100000003809101100,100000008254069100,10200
100000003823811100,100000005264990100,17070
100000003835149100,100000002224132100,2900720
100000003854444100,100000001049200100,70610
100000003854444100,100000004450649100,51558
100000003873332100,100000003854444100,210000
100000003880331100,100000000331309100,320000
100000003880331100,100000001857829100,300000
100000003880331100,100000003684369100,402000
100000003880331100,100000008165763100,200000
100000003880331100,100000008603629100,598000
100000003880331100,100000008731444100,94000
100000003923946100,100000003977183100,82000
100000003923946100,100000004015047100,77000
100000003968044100,100000008165763100,20000
100000003968044100,100000008603629100,96000
100000003975102100,100000005382566100,32000
100000003977183100,100000003923946100,282000
100000003988112100,100000004403675100,64000
100000004015047100,100000001616816100,69195
100000004041163100,100000005382566100,166000
100000004070318100,100000002957787100,7600
100000004070318100,100000004400305100,19800
100000004070318100,100000006866783100,85000
100000004070318100,100000008094734100,9249
100000004070318100,100000008165763100,32300
100000004070318100,100000008346837100,60059
100000004070318100,100000008477350100,25000
100000004070318100,100000008603629100,23126
100000004071070100,100000004071080100,6000
100000004071080100,100000004071070100,36000
100000004077081100,100000003684369100,110000
100000004077081100,100000008165763100,250000
100000004140487100,100000003684369100,50000
100000004140487100,100000004400305100,30000
100000004140487100,100000008165763100,42000
100000004140487100,100000008603629100,20000
100000004140487100,100000008730846100,18000
100000004150593100,100000001530983100,67544
100000004150593100,100000004394765100,119476
100000004150593100,100000008188026100,23110
100000004150593100,100000008595687100,64395
100000004156082100,100000001987030100,23668
100000004156082100,100000004188160100,8600
100000004156082100,100000004394765100,32480
100000004156082100,100000005287097100,16450
100000004156082100,100000005339662100,25164
100000004156082100,100000005481280100,32700
100000004156082100,100000006518161100,50000
100000004156082100,100000007281639100,69770
100000004159526100,100000002132479100,30000
100000004186824100,100000004707703100,7000
100000004188160100,100000003016635100,18000
100000004188160100,100000008346837100,6000
100000004193835100,100000005382566100,5000
100000004221668100,100000002391278100,30000
100000004221668100,100000004321983100,10840
100000004221668100,100000005171642100,690600
100000004269433100,100000008418835100,1372000
100000004299488100,100000007055802100,204999
100000004330371100,100000003016635100,18981
100000004330371100,100000006534886100,71700
100000004351795100,100000000437046100,542000
100000004351795100,100000003242289100,49000
100000004351795100,100000003684369100,39800
100000004351795100,100000008512552100,246100
100000004351795100,100000008603629100,77000
100000004351795100,100000008731444100,295000
100000004358004100,100000003684369100,233000
100000004358004100,100000005527892100,70000
100000004358004100,100000005612411100,65000
100000004358004100,100000008094734100,47000
100000004358004100,100000008165763100,148000
100000004358004100,100000008172352100,43000
100000004390333100,100000000437046100,100000
100000004390333100,100000003684369100,100000
100000004390333100,100000005612411100,36500
100000004390333100,100000006866783100,60000
100000004390333100,100000008477350100,40000
100000004390333100,100000008603629100,60000
100000004394765100,100000004193835100,47000
100000004398811100,100000002939838100,138172
100000004400305100,100000001609499100,113520
100000004400305100,100000002645993100,35650
100000004400305100,100000002723538100,15000
100000004400305100,100000003213473100,57500
100000004400305100,100000003528285100,33400
100000004400305100,100000004070318100,23000
100000004400305100,100000004071080100,20000
100000004400305100,100000004390333100,18807
100000004400305100,100000004679953100,139768
100000004400305100,100000004847758100,47067
100000004400305100,100000005048668100,10168
100000004400305100,100000005052998100,9500
100000004400305100,100000005830339100,117435
100000004400305100,100000005910114100,93168
100000004400305100,100000006788200100,46970
100000004400305100,100000007055802100,115000
100000004400305100,100000007181706100,12500
100000004400305100,100000007593823100,10000
100000004400305100,100000008304139100,46101
100000004400305100,100000008587459100,132507
100000004400305100,100000008686313100,82417
100000004403675100,100000000331309100,59435
100000004403675100,100000003823811100,30000
100000004403675100,100000003988112100,92000
100000004450649100,100000003684369100,41300
100000004475818100,100000008172352100,11765
100000004527381100,100000004156082100,273866.11
100000004569484100,100000005578559100,51000
100000004569484100,100000005704413100,41000
100000004569484100,100000005933757100,39000
100000004569484100,100000008346837100,25000
100000004603109100,100000002224132100,300000
100000004603109100,100000004892144100,100000
100000004679953100,100000005782781100,16000
100000004679953100,100000008730846100,12800
100000004707703100,100000003975102100,25650
100000004723755100,100000008748914100,95000
100000004746397100,100000002957787100,7500
100000004813068100,100000003835149100,248500
100000004820260100,100000005175148100,74000
100000004820260100,100000005339662100,135850
100000004847758100,100000000910216100,71000
100000004847758100,100000003684369100,56000
100000004847758100,100000004071080100,50600
100000004847758100,100000005612411100,14000
100000004847758100,100000008165763100,28000
100000004847758100,100000008603629100,42000
100000004892144100,100000002224132100,180300
100000005048668100,100000008346837100,7000
100000005048668100,100000008603629100,65000
100000005048668100,100000008730846100,7000
100000005052998100,100000008477350100,28400
100000005074393100,100000001232297100,5000
100000005074393100,100000005882013100,120000
100000005140601100,100000000011452100,15000
100000005140601100,100000001600934100,180300
100000005171642100,100000004221668100,683600
100000005175148100,100000005339662100,15000
100000005222360100,100000005933757100,27000
100000005264990100,100000005382566100,53000
100000005268319100,100000002957787100,24000
100000005287097100,100000000343175100,58800
100000005287097100,100000003016635100,392500
100000005287097100,100000004150593100,57000
100000005287097100,100000004156082100,50500
100000005316708100,100000001616816100,30000
100000005316708100,100000005514161100,227500
100000005339662100,100000000343175100,28100
100000005339662100,100000004820260100,234200
100000005339662100,100000005175148100,5000
100000005382566100,100000004041163100,50000
100000005386383100,100000005382566100,29000
100000005481280100,100000005386383100,17000
100000005498992100,100000002838861100,289500
100000005498992100,100000003071930100,227610
100000005498992100,100000004403675100,23693
100000005498992100,100000006707582100,22000
100000005498992100,100000006972210100,245220
100000005527892100,100000008512827100,54510
100000005527892100,100000008710791100,54510
100000005578559100,100000002838861100,83000
100000005578559100,100000005704413100,36834.67
100000005578559100,100000008379273100,16000
100000005612411100,100000001102676100,50000
100000005634552100,100000002603769100,759000
100000005660203100,100000006518161100,23000
100000005664922100,100000002224132100,510000
100000005664922100,100000008686247100,22000
100000005665181100,100000004475818100,13000
100000005704413100,100000002838861100,67000
100000005704413100,100000004569484100,65705
100000005704413100,100000008379273100,20000
100000005744674100,100000005382566100,50066
100000005782781100,100000004847758100,23717
100000005830339100,100000002480800100,339251
100000005834479100,100000003528285100,5470
100000005873152100,100000003360542100,10000
100000005882013100,100000005074393100,10000
100000005910114100,100000001857829100,49035
100000005910114100,100000002957787100,45856
100000005910114100,100000003684369100,76677
100000005910114100,100000005782781100,45688
100000005910114100,100000006866783100,241712
100000005910114100,100000008111003100,56016
100000005910114100,100000008165763100,18130
100000005910114100,100000008603629100,232624
100000005933757100,100000002963189100,490000
100000005933757100,100000004159526100,144082
100000005933757100,100000004403675100,48100
100000005933757100,100000004569484100,32607
100000005933757100,100000008104567100,20550
100000006020215100,100000005386383100,20500
100000006069103100,100000000201868100,190000
100000006240939100,100000004221668100,300000
100000006518161100,100000005660203100,572899
100000006534886100,100000004330371100,167500
100000006579678100,100000003016635100,81600
100000006579678100,100000003237045100,340200
100000006579678100,100000008389800100,120000
100000006707582100,100000000850297100,17520
100000006707582100,100000001287955100,17520
100000006707582100,100000004159526100,10955
100000006707582100,100000008094734100,30000
100000006866783100,100000000011452100,75000
100000006866783100,100000000089154100,10000
100000006866783100,100000000555721100,95000
100000006866783100,100000001330685100,130425
100000006866783100,100000001530983100,58724
100000006866783100,100000001609499100,93937
100000006866783100,100000001660397100,19300
100000006866783100,100000002306369100,73166
100000006866783100,100000002603769100,149968
100000006866783100,100000003873332100,23468
100000006866783100,100000004070318100,64725
100000006866783100,100000004071080100,67000
100000006866783100,100000004299488100,337000
100000006866783100,100000004351795100,66404
100000006866783100,100000004390333100,45751
100000006866783100,100000004403675100,47187
100000006866783100,100000004679953100,40003
100000006866783100,100000004847758100,18775
100000006866783100,100000005844459100,150000
100000006866783100,100000007055802100,200000
100000006866783100,100000007639767100,23018
100000006866783100,100000008094734100,150000
100000006866783100,100000008137435100,43906
100000006866783100,100000008304139100,23567
100000006866783100,100000008443341100,24500
100000006866783100,100000008686313100,225181
100000006977207100,100000005527892100,120001
100000007055802100,100000004299488100,605000
100000007511163100,100000000343175100,11937
100000007511163100,100000008389800100,49000
100000007593823100,100000008111003100,17000
100000007593823100,100000008346837100,5800
100000007593823100,100000008730846100,38000
100000007639767100,100000000437046100,50000
100000007639767100,100000004400305100,10000
100000007639767100,100000006866783100,10000
100000007639767100,100000008603629100,98250
100000007639767100,100000008710843100,15744
100000007639767100,100000008731444100,50000
100000007747786100,100000002838861100,108000
100000007747786100,100000002894076100,741782
100000007747786100,100000003158727100,176440
100000007747786100,100000003265158100,18600.4
100000007747786100,100000004015047100,170000
100000007747786100,100000004159526100,100000
100000007747786100,100000005514161100,30000
100000007982728100,100000002152857100,105000
100000007982728100,100000003977183100,41800
100000007982728100,100000004015047100,264384
100000007982728100,100000005316708100,90000
100000007982728100,100000006788200100,93200
100000007982728100,100000006972210100,150000
100000007982728100,100000008748408100,360000
100000008002020100,100000005664922100,17000
100000008003034100,100000005933757100,30000
100000008003034100,100000008346837100,28500
100000008086440100,100000000437046100,41500
100000008086440100,100000008477350100,18900
100000008086440100,100000008603629100,63900
100000008104567100,100000001616816100,12000
100000008104567100,100000005704413100,20000
100000008111003100,100000003796063100,35000
100000008121806100,100000008346837100,5000
100000008121806100,100000008547948100,60197
100000008137435100,100000003701161100,349000
100000008137435100,100000008686313100,51400
100000008165763100,100000003115284100,130000
100000008165763100,100000007908818100,116500
100000008169544100,100000000343175100,15500
100000008169544100,100000003016635100,17300
100000008169544100,100000004156082100,5000
100000008172352100,100000001597505100,26460
100000008188026100,100000004527381100,119333.17
100000008223661100,100000008165763100,33385
100000008223661100,100000008730846100,8642
100000008254069100,100000003809101100,20000
100000008254069100,100000005382566100,58000
100000008293431100,100000000437046100,215000
100000008304139100,100000000437046100,30000
100000008304139100,100000001857829100,52000
100000008304139100,100000003684369100,454000
100000008304139100,100000005782781100,38000
100000008304139100,100000005834479100,7500
100000008304139100,100000006866783100,144000
100000008304139100,100000008477350100,60000
100000008304139100,100000008587459100,49000
100000008304139100,100000008603629100,159000
100000008346837100,100000000343175100,10000
100000008346837100,100000004351795100,29511
100000008346837100,100000005048668100,6500
100000008346837100,100000005074393100,329133
100000008346837100,100000005910114100,92009
100000008346837100,100000006020215100,30000
100000008346837100,100000007593823100,5000
100000008379273100,100000004015047100,10000
100000008379273100,100000008346837100,5000
100000008389800100,100000007511163100,49000
100000008389800100,100000008430691100,20000
100000008413748100,100000004070318100,29521.55
100000008413748100,100000004071080100,5000
100000008413748100,100000005830339100,94335
100000008413748100,100000008304139100,26091.75
100000008417359100,100000008512552100,20760
100000008418835100,100000000343175100,31500
100000008418835100,100000004156082100,27000
100000008430691100,100000008389800100,20000
100000008443341100,100000008474308100,14000
100000008443341100,100000008477350100,17000
100000008460102100,100000008104567100,5500
100000008465789100,100000008223661100,102000
100000008465789100,100000008466579100,30000
100000008465789100,100000008547948100,20000
100000008466579100,100000002894076100,155000
100000008466579100,100000008223661100,100000
100000008466579100,100000008489922100,123000
100000008466579100,100000008517538100,50000
100000008466579100,100000008547948100,35000
100000008474308100,100000008443341100,10000
100000008477350100,100000000555721100,18000
100000008477350100,100000001330685100,233968
100000008477350100,100000002603769100,276400
100000008477350100,100000003968044100,40000
100000008477350100,100000004071080100,23000
100000008477350100,100000004299488100,192000
100000008477350100,100000005830339100,49780
100000008477350100,100000005844459100,93400
100000008477350100,100000005910114100,140967
100000008477350100,100000007593823100,10000
100000008477350100,100000007639767100,16305
100000008477350100,100000007864477100,70000
100000008477350100,100000008086440100,199733
100000008489922100,100000003158727100,81500
100000008489922100,100000008517538100,70500
100000008489922100,100000008547948100,30000
100000008489922100,100000008710791100,12000
100000008489922100,100000008710843100,18200
100000008512552100,100000003178549100,210000
100000008512552100,100000003242289100,468791
100000008512827100,100000002173161100,290000
100000008517538100,100000008512827100,10000
100000008517538100,100000008710791100,115000
100000008522127100,100000002781227100,145000
100000008547844100,100000008465789100,30099
100000008547844100,100000008547948100,61000
100000008547948100,100000003071930100,200000
100000008547948100,100000003158727100,110000
100000008547948100,100000008489922100,87000
100000008547948100,100000008547844100,100000
100000008587459100,100000006866783100,95500
100000008595687100,100000003016635100,10400
100000008603629100,100000000011452100,20000
100000008603629100,100000001138283100,81805
100000008603629100,100000001609499100,55656
100000008603629100,100000001660397100,29300
100000008603629100,100000001857829100,408000
100000008603629100,100000002723538100,70647
100000008603629100,100000003178549100,40000
100000008603629100,100000003528285100,20000
100000008603629100,100000003582677100,21652
100000008603629100,100000004071080100,20000
100000008603629100,100000004351795100,22418
100000008603629100,100000004679953100,163767
100000008603629100,100000004847758100,25612
100000008603629100,100000005140601100,25000
100000008603629100,100000005830339100,144605
100000008603629100,100000006788200100,63018
100000008603629100,100000007055802100,40000
100000008603629100,100000007639767100,23722
100000008603629100,100000008686313100,75693
100000008603629100,100000008721637100,24041
100000008632060100,100000000437046100,67500
100000008632060100,100000001857829100,20500
100000008632060100,100000004400305100,40000
100000008632060100,100000006866783100,20000
100000008632060100,100000008603629100,50000
100000008632060100,100000008730846100,60600
100000008636603100,100000000343175100,12875
100000008636603100,100000000667713100,12750
100000008636603100,100000003016635100,43200
100000008636603100,100000003265158100,46800
100000008680731100,100000002748180100,9900
100000008680731100,100000003265158100,80700
100000008680731100,100000008002020100,73860
100000008686247100,100000005664922100,5000
100000008686313100,100000000437046100,29200
100000008686313100,100000006866783100,48100
100000008686313100,100000008477350100,25800
100000008686313100,100000008603629100,55500
100000008710791100,100000002173161100,268000
100000008710843100,100000002894076100,146000
100000008710843100,100000008517538100,35000
100000008710843100,100000008547844100,69000
100000008721637100,100000001616816100,12000
100000008721637100,100000004015047100,115000
100000008730846100,100000003115284100,185000
100000008731444100,100000003528285100,60000
100000008731444100,100000006788200100,68967.8
100000008748408100,100000004221668100,92000
100000008748914100,100000000331309100,242000
100000008748914100,100000001072022100,320000
100000008748914100,100000003684369100,1582700
100000008748914100,100000004398811100,426000
100000008748914100,100000004400305100,105000
100000008748914100,100000006977207100,414000
100000008748914100,100000008165763100,141000
100000008748914100,100000008477350100,222000
100000008748914100,100000008762832100,150000
100000008762832100,100000008748914100,85000
